Kelompok,nama,nim,prodi
1,Alice,21001,Informatika
1,Eve,22001,Sistem Informasi
1,Helen,23001,Matematika
1,Kara,24001,Fisika
1,Oscar,25001,Biologi
1,Paul,25002,Biologi
1,Quinn,25003,Biologi
2,Bob,21002,Informatika
2,Frank,22002,Sistem Informasi
2,Ivan,23002,Matematika
2,Liam,24002,Fisika
2,Ryan,25004,Biologi
2,Sophia,25005,Biologi
2,Tina,25006,Biologi
3,Charlie,21003,Informatika
3,Grace,22003,Sistem Informasi
3,Jack,23003,Matematika
3,Mila,24003,Fisika
3,David,21004,Informatika
3,Nina,24004,Fisika
